iter	Passed	Remaining
0	145	145144
1	146	72964
2	147	48906
3	148	36870
4	148	29648
5	149	24836
6	150	21398
7	151	18812
8	152	16803
9	153	15197
10	154	13878
11	155	12780
12	156	11857
13	157	11065
14	158	10385
15	159	9779
16	159	9247
17	160	8775
18	161	8356
19	162	7976
20	163	7633
21	164	7322
22	165	7037
23	166	6775
24	167	6535
25	168	6313
26	169	6105
27	170	5914
28	171	5733
29	172	5567
30	173	5411
31	174	5265
32	175	5128
33	175	4998
34	176	4877
35	177	4762
36	178	4653
37	179	4549
38	180	4450
39	181	4357
40	182	4267
41	183	4183
42	184	4101
43	185	4023
44	186	3950
45	187	3882
46	188	3816
47	189	3752
48	190	3690
49	191	3630
50	192	3573
51	192	3517
52	194	3467
53	195	3417
54	196	3369
55	196	3320
56	197	3273
57	198	3227
58	199	3184
59	200	3142
60	201	3102
61	202	3062
62	203	3024
63	204	2987
64	205	2952
65	206	2917
66	207	2884
67	207	2845
68	208	2813
69	209	2782
70	210	2751
71	211	2722
72	212	2693
73	213	2665
74	213	2638
75	214	2611
76	215	2586
77	216	2561
78	217	2536
79	218	2512
80	219	2489
81	220	2467
82	221	2444
83	222	2423
84	222	2398
85	223	2377
86	224	2353
87	225	2334
88	226	2314
89	227	2295
90	227	2276
91	228	2257
92	229	2240
93	230	2222
94	231	2205
95	232	2189
96	233	2172
97	234	2156
98	235	2140
99	236	2125
100	237	2110
101	237	2092
102	238	2077
103	239	2063
104	240	2049
105	241	2034
106	242	2021
107	243	2007
108	244	1995
109	245	1982
110	245	1969
111	246	1957
112	247	1944
113	248	1932
114	249	1920
115	250	1907
116	251	1895
117	252	1884
118	252	1871
119	253	1860
120	254	1849
121	255	1839
122	256	1825
123	256	1815
124	257	1805
125	258	1795
126	259	1785
127	260	1773
128	261	1763
129	262	1754
130	263	1745
131	264	1736
132	264	1727
133	265	1718
134	266	1709
135	267	1700
136	268	1692
137	269	1682
138	270	1674
139	271	1666
140	272	1658
141	273	1650
142	274	1642
143	274	1634
144	275	1627
145	276	1619
146	277	1611
147	278	1604
148	279	1597
149	280	1589
150	281	1582
151	282	1575
152	283	1568
153	284	1561
154	285	1554
155	285	1547
156	287	1541
157	288	1535
158	289	1528
159	290	1522
160	290	1516
161	291	1510
162	293	1504
163	294	1498
164	295	1493
165	296	1487
166	296	1481
167	297	1475
168	298	1470
169	299	1464
170	301	1459
171	302	1454
172	303	1448
173	304	1443
174	305	1438
175	305	1432
176	306	1427
177	307	1421
178	308	1416
179	309	1410
